playlist_id,num_followers,track_id,track_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
746359,53519,6S3JlDAGk3uu3NtZbPnuhS,Baby Blue - 2010 - Remaster,Badfinger,0.623,0.876,11,-7.788,1,0.066,0.0189,0.0134,0.0728,0.515,124.431,217346
432907,1781,6TzCeXJLrQUsA76d7z2m9q,It Had to Be You (Big Band and Vocals),"Harry Connick, Jr.",0.543,0.284,5,-13.205,1,0.051,0.683,0.0,0.101,0.409,125.558,158226
944462,1150,4efoEY8iDBzUqitjmNDhpN,Three Little Birds,Bob Marley & The Wailers,0.814,0.482,9,-10.493,1,0.0588,0.0111,1.57e-06,0.0476,0.615,148.404,180266
577791,824,6jX5mso4x00c1EiNMrTU9U,Please Mr. Postman,The Marvelettes,0.785,0.776,2,-5.259,1,0.0312,0.729,0.0,0.181,0.967,121.505,148040
97891,766,1Aih5Ev0K3tZ2rEmxfoqT2,Mad World,Michael Andrews,0.562,0.0915,3,-13.666,1,0.0297,0.958,0.0,0.108,0.33,87.274,183680
326144,639,5rZKTLGSlwEALEhJW7EVDJ,Born Into the Sunset (Lindstrom & Prins Thomas Remix),Temples,0.735,0.571,7,-9.952,1,0.0345,0.00776,0.504,0.0821,0.91,118.996,432260
331669,495,3W8TT2rjNWOYwerxRzHOu0,Break Even,In The Valley Below,0.597,0.752,9,-8.621,1,0.0342,0.0343,0.426,0.0665,0.169,114.002,275546
879085,378,1f2by40EQ21EdUTQO4o4Z9,I Wanna be Around,The Beach Boys,0.485,0.249,5,-20.623,1,0.128,0.546,0.00397,0.284,0.116,76.205,187560
863364,305,6D9eBHRFy1eDaRb8stZJHo,Layla (Piano Exit),Derek & The Dominos,0.512,0.539,6,-12.423,1,0.029,0.605,0.952,0.121,0.612,115.647,233306
677350,304,5K09WxKdlkroDyEVyOSySy,(You Make Me Feel Like) A Natural Woman,Aretha Franklin,0.603,0.271,5,-10.083,1,0.0284,0.679,0.0,0.141,0.405,110.89,166973
891932,252,3AsfuEnwyMTHS7mbzcRUdV,You,Keaton Henson,0.295,0.151,8,-14.479,0,0.0343,0.769,0.00599,0.105,0.138,160.346,282680
160101,217,4w3dm0pGQ9otu7cG5uWy88,Not Just a Girl,She Wants Revenge,0.552,0.665,0,-4.691,1,0.0267,0.000228,0.0542,0.117,0.491,90.023,262813
703889,200,75JFxkI2RXiU7L9VXzMkle,The Scientist,Coldplay,0.557,0.442,5,-7.224,1,0.0243,0.731,1.46e-05,0.11,0.213,146.277,309600
726958,184,2PGI8tz7m6jttZcWfRxtc1,Incense,Erykah Badu,0.575,0.234,8,-15.522,0,0.0293,0.745,0.343,0.12,0.364,88.529,206640
178210,142,5vb7At47uO0yPGfmYnAHuw,'Round Midnight,Miles Davis,0.494,0.182,10,-11.116,0,0.0443,0.79,0.00036,0.129,0.21,112.689,355333
396103,122,6NxsCnLeLd8Ai1TrgGxzIx,Bad Moon Rising,Creedence Clearwater Revival,0.647,0.762,2,-5.856,1,0.0287,0.0599,3.35e-06,0.0705,0.93,89.837,141600
623338,122,09kEUjIvixNShjfl3YoyWo,Simply Beautiful,Al Green,0.523,0.224,9,-15.686,0,0.125,0.587,0.00358,0.124,0.476,147.066,251569
550626,113,7notpYpZl7wQAXkH1UUhsv,Lihue,Nohelani Cypriano,0.457,0.759,2,-9.283,0,0.108,0.611,0.000361,0.0804,0.522,93.909,200000
555595,108,0AX6pLXtyR2vPLv2KYErAg,La Vie En Rose - Single Version,Louis Armstrong,0.582,0.0766,0,-12.544,1,0.0603,0.866,0.00394,0.091,0.274,70.443,204400
115374,105,6f1AjRIhheD79RSKKJZjNw,Any Love,Norman Brown,0.536,0.547,5,-10.439,0,0.0291,0.769,0.206,0.105,0.536,94.112,323133
294086,96,5zpeUjjv1L6gsZYJcnAn6g,Shanti (Shavasana Dub) Omstrumental,MC YOGI,0.158,0.121,7,-19.088,1,0.0415,0.938,0.972,0.331,0.0247,131.865,428500
313951,94,3KoJQwhbnEVF57jHkldkPP,All At Once,Jack Johnson,0.635,0.353,0,-11.341,1,0.0361,0.503,0.000309,0.152,0.233,110.516,217720
375492,94,6W5706MsehAWMAZLIg9Fu2,Strange Fruit,Billie Holiday,0.384,0.078,0,-13.77,0,0.0469,0.967,5.49e-06,0.135,0.135,97.427,181386
390012,69,1LTcxVasGqlziLbZzBn5nU,Dance With Me,Kelly Clarkson,0.494,0.836,7,-5.769,1,0.0609,0.00178,8.21e-06,0.0947,0.261,121.015,260533
459360,63,7C7yqFTM0ncyJ04GIKrxdV,Anything Could Happen,Ellie Goulding,0.702,0.781,0,-4.081,1,0.03,0.433,0.0,0.135,0.382,102.997,286322
126557,53,5adgXHhaKzZlmXojEuKNjl,Heat,HOMESHAKE,0.57,0.409,7,-9.922,0,0.027,0.647,0.0029,0.141,0.079,84.796,195394
405074,51,3ZjrfGcb3A2PMGA1vRNgSk,This Land is Your Land,Woody Guthrie,0.606,0.0977,3,-15.668,1,0.0451,0.962,0.00148,0.126,0.551,105.593,139693
807280,50,7BSMSvK0WxrDeI98bswYa8,Berlin,RY X,0.393,0.0668,7,-20.755,1,0.0404,0.963,0.105,0.107,0.0384,136.938,174172
453697,42,2W58wKH0UciMzGl7Ot19DY,Scream (Funk My Life Up),Paolo Nutini,0.638,0.757,6,-7.361,0,0.115,0.0418,0.000123,0.156,0.49,178.043,189566
292815,40,1gqdVHAZt8UBCbiBYoM1Fk,Fly Me To the Moon (In Other Words) - Frank Sinatra With Count Basie & His Orchestra,Frank Sinatra & Count Basie,0.531,0.356,5,-12.941,1,0.0524,0.461,0.0,0.0332,0.49,118.083,152868
284644,37,6C5jRZIjka2fbbhdkKdxUj,País Tropical,Jorge Ben Jor,0.358,0.811,0,-5.854,1,0.142,0.49,0.0,0.44,0.739,80.791,250666
970713,37,5RXXFTS0PCEc5HcnZ9cyEZ,I'm A Fool to Want You,Frank Sinatra,0.156,0.125,3,-18.108,0,0.0375,0.927,0.000383,0.0818,0.116,85.772,175000
499960,36,17bBNcLyMBDayQskHJX29T,"Theme From New York, New York",Frank Sinatra,0.407,0.589,2,-5.32,1,0.03,0.547,0.0,0.281,0.559,109.009,204146
240771,32,2eA160jLLoHiJKOqvOFKJt,Easy,Lionel Richie,0.507,0.389,10,-9.221,0,0.0306,0.753,0.000115,0.178,0.249,132.79,270573
621404,30,2Yog8hpOt3Nd9zEFrlsQAR,Sun Singer Theme,Paul Winter Consort,0.252,0.0241,8,-31.702,1,0.0438,0.976,0.74,0.0542,0.0391,67.988,44400
834628,28,6xNwKNYZcvgV3XTIwsgNio,Heartbreak Hotel,Elvis Presley,0.696,0.21,4,-11.922,1,0.067,0.84,1.62e-06,0.107,0.717,93.543,127560
174406,27,6ivKA9zVOLmVjs5dzPiF4E,I'm His Girl,Friends,0.728,0.738,0,-6.677,1,0.0466,0.658,7.65e-05,0.0841,0.86,102.934,171720
427431,27,61Xw3D16XALHMzbg1Dtzcx,Enchanted Lady,Ray Brown,0.486,0.362,2,-16.34,0,0.0455,0.814,0.0495,0.113,0.508,82.393,307773
334192,24,43c7gUWaUAH2LJH394ykNM,Once I Loved,Astrud Gilberto,0.363,0.258,6,-16.962,0,0.0364,0.658,0.0,0.146,0.334,139.561,135666
917779,24,2AMz2zguq5MI02Fg3XuUbv,A String Of Pearls,Glenn Miller,0.645,0.378,5,-9.846,1,0.036,0.951,0.881,0.09,0.599,129.875,195361
457945,23,2iXdwVdzA0KrI2Q0iZNJbX,Better Together,Jack Johnson,0.871,0.346,5,-9.481,1,0.0522,0.298,9.24e-06,0.108,0.659,110.054,207680
597757,23,6ztstiyZL6FXzh4aG46ZPD,Boogie Wonderland,"Earth, Wind & Fire",0.802,0.756,2,-10.791,0,0.0349,0.0843,0.00765,0.0521,0.963,131.715,288293
646279,23,4sFbojhVXQv7dBC9PVCcRn,Sympathy For The Devil,The Rolling Stones,0.566,0.673,9,-10.814,1,0.306,0.565,1.13e-06,0.0438,0.583,114.385,377746
261534,22,354gNwpjlW9QKsMPLWdMv5,The Gypsy,Charlie Parker,0.545,0.0442,8,-14.903,1,0.0382,0.992,0.874,0.126,0.34,100.229,180579
888827,21,0C1ZmUpnsIELhYhpQmbJ1A,The Girl From Ipanema,Stan Getz,0.662,0.192,5,-15.623,0,0.0349,0.906,3.55e-05,0.0887,0.439,129.807,323493
161226,20,1ZvcwIXNieSXuHE3HZ3CRC,"Well, You Needn't",Bud Shank,0.723,0.337,1,-13.657,1,0.0346,0.429,0.116,0.0835,0.386,136.133,420666
52689,18,3eMfftdPSD4PI1cux5w97b,Autumn Leaves,Paul Desmond,0.34,0.359,5,-20.131,0,0.0504,0.789,0.367,0.0943,0.599,187.139,422666
90147,18,0wz1LjDb9ZNEYwOmDJ3Q4b,Surfin' U.S.A.,The Beach Boys,0.55,0.854,3,-5.968,1,0.036,0.661,0.0,0.112,0.965,159.231,149373
125602,18,5LrNrRA8sMvhKRPOkuvpwq,If I Had A Boat,Lyle Lovett,0.476,0.32,4,-15.642,1,0.0376,0.317,0.000339,0.357,0.478,91.997,189360
491704,18,0CmIALzGn4vHIHJG4n3Q4z,At Last - Single Version,Etta James,0.168,0.326,5,-9.981,1,0.0324,0.721,0.0006,0.316,0.322,174.794,182400
558605,18,1aqJGkuh7mXeOLJ1nkjTSI,Strasbourg / St. Denis,Roy Hargrove,0.701,0.445,1,-10.583,1,0.0834,0.149,0.59,0.0963,0.405,103.004,278626
589102,18,0sEm1ld0V8YTCPcjPVfIsc,Brighter Than Gold,The Cat Empire,0.711,0.718,6,-5.739,1,0.038,0.00824,0.00208,0.0732,0.688,117.071,200293
925346,18,4sj8qFcEDnRPNv3tBbUVUf,Me and Mrs. Jones,Billy Paul,0.303,0.555,0,-9.259,0,0.0482,0.388,1.16e-06,0.468,0.447,67.322,285760
140237,17,73hX9ImSkUt2qMnB2BcAZo,Easy Living,Billie Holiday,0.655,0.23,8,-10.692,1,0.055,0.962,0.000106,0.111,0.695,89.002,182173
271392,17,4OTw5splgMdlYklwHMHxLK,Long Cool Woman (In A Black Dress) - 1999 Remastered Version,The Hollies,0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,199200
350927,17,3ZJTaixxFMyDFv4Gq9uAZi,Do It The Hard Way,Chet Baker,0.458,0.287,8,-15.305,1,0.0455,0.924,0.00034,0.149,0.351,170.243,183346
